time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
0,0.0005,0,0,0,0,0,0.0009999999,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,0.0009999999,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.2,0.00025,0,0,0,0,0,0.0009999999,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.3,0.0005,0,0,0,0,1.288,0.233,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.4,0.00025,0,0,0,0,6.246,2.561,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.5,0,0,0,0,0,10.19,5.972,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.6,0.00025,0,0,0,0,13.142,9.482,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.7,0.0005,0,0,0,0,14.912,12.567,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.8,0.00025,0,0,0,0,15.498,15.426,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
0.9,0,0,0,0,0,15.412,17.482,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1,0.00025,0,0,0,0,14.867,19.318,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.1,0.0005,0,0,0,0,13.846,20.734,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.2,0.00025,0,0,0,0,12.343,21.733,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.3,0,0,0,0,0,10.287,22.349,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.4,0.0005,0,0,0,0,8.073999,22.503,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.5,0.599,0,0,0,0,7.99,22.477,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.6,1.655,0,0,0,0,7.856,21.977,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.7,3.01525,0,0,0,0,7.415,20.012,-0.0009999999,-0.002,0,0,0,0,0,0,0,0,0,
1.8,4.06425,0,0,0,0,6.658,16.187,0.979,0.209,0,0,0,0,0,0,0,0,0,
1.9,4.71375,0,0,0,0,5.932,12.365,5.035,1.8,0,0,0,0,0,0,0,0,0,
2,4.98975,0,0,0,0,5.16,8.383,9.468,5.344,0,0,0,0,0,0,0,0,0,
2.1,4.8895,0,0,0,0,4.431,4.768,12.617,8.882,0,0,0,0,0,0,0,0,0,
2.2,3.6655,0,0,0,0,3.732,1.218,14.777,12.435,0,0,0,0,0,0,0,0,0,
2.3,2.38725,0,0,0,0,3.14,-1.62,15.475,14.82,0,0,0,0,0,0,0,0,0,
2.4,1.4205,0,0,0,0,2.6,-4.313,15.466,17.123,0,0,0,0,0,0,0,0,0,
2.5,0.7955,0,0,0,0,2.098,-6.881,14.976,19.19,0,0,0,0,0,0,0,0,0,
2.6,0.517,0,0,0,0,1.691,-8.823,14.103,20.508,0,0,0,0,0,0,0,0,0,
2.7,0.4995,0,0,0,0,1.334,-10.642,12.682,21.578,0,0,0,0,0,0,0,0,0,
2.8,0.49975,0,0,0,0,1.041,-12.128,10.791,22.236,0,0,0,0,0,0,0,0,0,
2.9,0.50025,0,0,0,0,0.811,-13.292,8.576,22.488,0,0,0,0,0,0,0,0,0,
3,0.81275,0,0,0,0,0.581,-14.503,7.986,22.475,0,0,0,0,0,0,0,0,0,
3.1,1.789,0,0,0,0,0.541,-14.73,7.891,22.187,0,0,0,0,0,0,0,0,0,
3.2,3.2645,0,0,0,0,0.501,-14.985,7.439,20.35,0,0,0,0,0,0,0,0,0,
3.3,4.4895,0,0,0,0,0.809,-14.94,6.58,16.047,0,0,0,0,0,0,0,0,0,
3.4,5.10925,0,0,0,0,4.114,-13.205,5.978,12.854,0,0,0,0,0,0,0,0,0,
3.5,5.46475,0,0,0,0,8.709,-8.137,5.189,8.76,0,0,0,0,0,0,0,0,0,
3.6,5.4765,0,0,0,0,12.411,-1.721,4.404,4.753,0,0,0,0,0,0,0,0,0,
3.7,4.46675,0,0,0,0,14.669,3.878,3.788,1.796,0,0,0,0,0,0,0,0,0,
3.8,3.13375,0,0,0,0,15.852,8.483,3.174,-1.266,0,0,0,0,0,0,0,0,0,
3.9,2.0605,0,0,0,0,15.995,12.84,2.559,-4.419,0,0,0,0,0,0,0,0,0,
4,1.4005,0,0,0,0,15.712,15.804,2.141,-6.434,0,0,0,0,0,0,0,0,0,
4.1,1.04825,0,0,0,0,14.941,18.502,1.717,-8.58,0,0,0,0,0,0,0,0,0,
4.2,1,0,0,0,0,13.637,20.558,1.347,-10.461,0,0,0,0,0,0,0,0,0,
4.3,0.99975,0,0,0,0,11.864,21.906,1.03,-12.113,0,0,0,0,0,0,0,0,0,
4.4,0.99975,0,0,0,0,9.756,22.457,0.823,-13.169,0,0,0,0,0,0,0,0,0,
4.5,1.06,0,0,0,0,8.501,22.499,0.57,-14.535,0,0,0,0,0,0,0,0,0,
4.6,1.87825,0,0,0,0,8.468,22.398,0.547,-14.654,0,0,0,0,0,0,0,0,0,
4.7,3.4035,0,0,0,0,8.137,20.913,0.502,-14.971,0,0,0,0,0,0,0,0,0,
4.8,4.75525,0,0,0,0,7.283999,16.739,0.85,-14.9,0,0,0,0,0,0,0,0,0,
4.9,5.46075,0,0,0,0,6.743,13.913,3.347,-13.778,0,0,0,0,0,0,0,0,0,
5,5.91225,0,0,0,0,5.977,9.854,8.085,-9.023001,0,0,0,0,0,0,0,0,0,
5.1,5.99625,0,0,0,0,5.007,4.908,12.875,-0.622,0,0,0,0,0,0,0,0,0,
5.2,5.43875,0,0,0,0,4.524,2.636,14.369,2.827,0,0,0,0,0,0,0,0,0,
5.3,4.0755,0,0,0,0,3.888,-0.502,15.739,7.753,0,0,0,0,0,0,0,0,0,
5.4,2.8225,0,0,0,0,3.149,-4.231,15.99,13.384,0,0,0,0,0,0,0,0,0,
5.5,2.1,0,0,0,0,2.803,-5.865,15.823,15.392,0,0,0,0,0,0,0,0,0,
5.6,1.6265,0,0,0,0,2.35,-8.116,15.14,18.228,0,0,0,0,0,0,0,0,0,
5.7,1.49975,0,0,0,0,1.876,-10.519,13.52,20.815,0,0,0,0,0,0,0,0,0,
5.8,1.49975,0,0,0,0,1.649,-11.62,12.376,21.669,0,0,0,0,0,0,0,0,0,
5.9,1.4995,0,0,0,0,1.395,-12.915,10.251,22.387,0,0,0,0,0,0,0,0,0,
6,1.5,0,0,0,0,1.194,-14.164,8.513,22.514,0,0,0,0,0,0,0,0,0,
6.1,2.0405,0,0,0,0,1.07,-14.597,8.485,22.44,0,0,0,0,0,0,0,0,0,
6.2,3.524,0,0,0,0,1.009,-14.925,8.23,21.41,0,0,0,0,0,0,0,0,0,
6.3,4.84025,0,0,0,0,0.999,-14.999,7.472,17.482,0,0,0,0,0,0,0,0,0,
6.4,5.77525,0,0,0,0,2.751,-14.26,6.884,14.722,0,0,0,0,0,0,0,0,0,
6.5,6.33,0,0,0,0,7.592,-9.965,6.069,10.349,0,0,0,0,0,0,0,0,0,
6.6,6.499,0,0,0,0,11.494,-4.357,5.306,5.652,0,0,0,0,0,0,0,0,0,
6.7,6.12325,0,0,0,0,14.375,1.686,4.644,3.266,0,0,0,0,0,0,0,0,0,
6.8,4.76275,0,0,0,0,16.021,6.991,3.993,0.062,0,0,0,0,0,0,0,0,0,
6.9,3.538,0,0,0,0,16.5,11.722,3.214,-3.871,0,0,0,0,0,0,0,0,0,
7,2.69575,0,0,0,0,16.394,14.709,2.891,-5.419,0,0,0,0,0,0,0,0,0,
7.1,2.1765,0,0,0,0,15.827,17.64,2.432,-7.691,0,0,0,0,0,0,0,0,0,
7.2,2,0,0,0,0,14.733,20.008,1.97,-10.344,0,0,0,0,0,0,0,0,0,
7.3,1.9995,0,0,0,0,13.252,21.445,1.706,-11.327,0,0,0,0,0,0,0,0,0,
7.4,2,0,0,0,0,11.241,22.317,1.439,-12.669,0,0,0,0,0,0,0,0,0,
7.5,2.00025,0,0,0,0,8.969,22.503,1.235,-13.706,0,0,0,0,0,0,0,0,0,
7.6,2.67225,0,0,0,0,8.992,22.475,1.064,-14.629,0,0,0,0,0,0,0,0,0,
7.7,3.85225,0,0,0,0,8.832,21.857,1.017,-14.87,0,0,0,0,0,0,0,0,0,
7.8,5.21425,0,0,0,0,8.344,19.683,1,-14.991,0,0,0,0,0,0,0,0,0,
7.9,6.19775,0,0,0,0,7.573,15.697,2.891,-14.184,0,0,0,0,0,0,0,0,0,
8,6.78725,0,0,0,0,6.843,11.898,7.068,-10.869,0,0,0,0,0,0,0,0,0,
8.1,6.999,0,0,0,0,6.071,7.938,11.286,-4.769,0,0,0,0,0,0,0,0,0,
8.2,6.72775,0,0,0,0,5.342,4.339,14.175,1.181,0,0,0,0,0,0,0,0,0,
8.3,5.40025,0,0,0,0,4.673,1,15.952,6.435,0,0,0,0,0,0,0,0,0,
8.400001,4.14275,0,0,0,0,4.048,-2.185,16.498,11.68,0,0,0,0,0,0,0,0,0,
8.5,3.266,0,0,0,0,3.532,-4.662,16.421,14.483,0,0,0,0,0,0,0,0,0,
8.6,2.70975,0,0,0,0,3.053,-7.05,15.877,17.498,0,0,0,0,0,0,0,0,0,
8.7,2.502,0,0,0,0,2.629,-9.223001,14.749,19.989,0,0,0,0,0,0,0,0,0,
8.8,2.5,0,0,0,0,2.293,-10.863,13.363,21.346,0,0,0,0,0,0,0,0,0,
8.900001,2.5,0,0,0,0,2.007,-12.306,11.393,22.255,0,0,0,0,0,0,0,0,0,
9,2.50025,0,0,0,0,1.776,-13.517,8.929,22.503,0,0,0,0,0,0,0,0,0,
9.1,3.06925,0,0,0,0,1.596,-14.444,8.989,22.469,0,0,0,0,0,0,0,0,0,
9.2,4.24625,0,0,0,0,1.531,-14.784,8.82,21.845,0,0,0,0,0,0,0,0,0,
9.3,5.62925,0,0,0,0,1.5,-14.994,8.321,19.64,0,0,0,0,0,0,0,0,0,
9.400001,6.6465,0,0,0,0,2.641,-14.556,7.493,15.486,0,0,0,0,0,0,0,0,0,
9.5,7.25875,0,0,0,0,7.049,-11.375,6.813,11.78,0,0,0,0,0,0,0,0,0,
9.6,7.49625,0,0,0,0,11.298,-5.602,6.04,7.801,0,0,0,0,0,0,0,0,0,
9.7,7.2505,0,0,0,0,14.383,0.335,5.322,4.283,0,0,0,0,0,0,0,0,0,
9.8,5.93375,0,0,0,0,16.279,5.983,4.658,0.987,0,0,0,0,0,0,0,0,0,
9.900001,4.6765,0,0,0,0,16.995,10.406,4.012,-2.266,0,0,0,0,0,0,0,0,0,
10,3.78325,0,0,0,0,16.91,13.967,3.513,-4.721,0,0,0,0,0,0,0,0,0,
10.1,3.222,0,0,0,0,16.365,17.049,3.041,-7.087,0,0,0,0,0,0,0,0,0,
10.2,3.0035,0,0,0,0,15.342,19.439,2.631,-9.139,0,0,0,0,0,0,0,0,0,
10.3,2.99975,0,0,0,0,13.823,21.172,2.281,-10.907,0,0,0,0,0,0,0,0,0,
10.4,2.99975,0,0,0,0,11.779,22.219,1.98,-12.463,0,0,0,0,0,0,0,0,0,
10.5,3.00025,0,0,0,0,9.565001,22.502,1.783,-13.44,0,0,0,0,0,0,0,0,0,
10.6,3.96975,0,0,0,0,9.483,22.463,1.558,-14.641,0,0,0,0,0,0,0,0,0,
10.7,4.673,0,0,0,0,9.406,22.199,1.53,-14.781,0,0,0,0,0,0,0,0,0,
10.8,6.0915,0,0,0,0,8.967,20.248,1.501,-14.99,0,0,0,0,0,0,0,0,0,
10.9,7.09425,0,0,0,0,8.296,17.189,2.114,-14.823,0,0,0,0,0,0,0,0,0,
11,7.736,0,0,0,0,7.533,13.026,6.499,-11.937,0,0,0,0,0,0,0,0,0,
11.1,7.993,0,0,0,0,6.769,9.028,10.837,-6.291,0,0,0,0,0,0,0,0,0,
11.2,7.8575,0,0,0,0,6.025,5.323,14.088,-0.202,0,0,0,0,0,0,0,0,0,
11.3,6.595,0,0,0,0,5.309,1.679,16.272,5.905,0,0,0,0,0,0,0,0,0,
11.4,5.33275,0,0,0,0,4.719,-1.136,16.97,9.766001,0,0,0,0,0,0,0,0,0,
11.5,4.3825,0,0,0,0,4.168,-3.869,16.956,13.504,0,0,0,0,0,0,0,0,0,
