time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
5.9,0.70025,0,0,0,0,0.858,-10.43,8.066,18.561,0,0,0,0,0,0,0,0,0
6,0.7,0,0,0,0,0.565,-11.665,6.7,18.7,0,0,0,0,0,0,0,0,0
6.1,0.7,0,0,0,0,0.5,-12.045,6.678,18.629,0,0,0,0,0,0,0,0,0
6.2,2.39475,0,0,0,0,0.511,-12.368,6.473001,17.833,0,0,0,0,0,0,0,0,0
6.3,3.428,0,0,0,0,0.5,-12.499,5.757,13.907,0,0,0,0,0,0,0,0,0
6.4,4.15275,0,0,0,0,1.545,-12.189,5.359,12.328,0,0,0,0,0,0,0,0,0
6.5,4.578,0,0,0,0,5.544,-9.041,4.66,8.482,0,0,0,0,0,0,0,0,0
6.6,4.69975,0,0,0,0,8.842,-4.254,4.087,5.457,0,0,0,0,0,0,0,0,0
6.7,4.4275,0,0,0,0,11.266,0.589,3.497,2.761,0,0,0,0,0,0,0,0,0
6.8,3.31125,0,0,0,0,12.721,4.886,2.96,0.097,0,0,0,0,0,0,0,0,0
6.9,2.284,0,0,0,0,13.199,8.834,2.395,-3.152,0,0,0,0,0,0,0,0,0
7,1.58475,0,0,0,0,13.127,11.717,2.043,-4.473,0,0,0,0,0,0,0,0,0
7.1,1.1485,0,0,0,0,12.675,14.269,1.665,-6.377,0,0,0,0,0,0,0,0,0
7.2,1,0,0,0,0,11.761,16.369,1.316,-8.244,0,0,0,0,0,0,0,0,0
7.3,0.99975,0,0,0,0,10.572,17.626,1.073,-9.385,0,0,0,0,0,0,0,0,0
7.4,1,0,0,0,0,8.918,18.46,0.851,-10.525,0,0,0,0,0,0,0,0,0
7.5,0.99975,0,0,0,0,7.015,18.701,0.684,-11.408,0,0,0,0,0,0,0,0,0
7.6,1.309,0,0,0,0,6.997,18.688,0.56,-12.098,0,0,0,0,0,0,0,0,0
7.7,2.40825,0,0,0,0,6.83,17.994,0.509,-12.388,0,0,0,0,0,0,0,0,0
7.8,3.5105,0,0,0,0,6.396,16.003,0.501,-12.494,0,0,0,0,0,0,0,0,0
7.9,4.3145,0,0,0,0,5.747,12.549,1.359,-12.228,0,0,0,0,0,0,0,0,0
8,4.8075,0,0,0,0,5.139,9.367,4.899,-9.761,0,0,0,0,0,0,0,0,0
8.1,4.997,0,0,0,0,4.505,6.142,8.418,-4.792,0,0,0,0,0,0,0,0,0
8.2,4.90825,0,0,0,0,3.897,3.174,10.991,0.115,0,0,0,0,0,0,0,0,0
8.3,3.8725,0,0,0,0,3.308,0.238,12.703,5.08,0,0,0,0,0,0,0,0,0
8.400001,2.8145,0,0,0,0,2.837,-1.987,13.191,8.249,0,0,0,0,0,0,0,0,0
8.5,1.99725,0,0,0,0,2.389,-4.174,13.159,11.44,0,0,0,0,0,0,0,0,0
8.6,1.463,0,0,0,0,1.981,-6.207,12.712,14.198,0,0,0,0,0,0,0,0,0
8.7,1.21875,0,0,0,0,1.649,-7.802,11.952,16.057,0,0,0,0,0,0,0,0,0
8.8,1.1995,0,0,0,0,1.356,-9.24,10.738,17.509,0,0,0,0,0,0,0,0,0
8.900001,1.2,0,0,0,0,1.12,-10.395,9.165,18.367,0,0,0,0,0,0,0,0,0
9,1.19975,0,0,0,0,0.929,-11.363,7.058,18.693,0,0,0,0,0,0,0,0,0
9.1,1.578,0,0,0,0,0.77,-12.144,6.991,18.678,0,0,0,0,0,0,0,0,0
9.2,2.36875,0,0,0,0,0.726,-12.356,6.891,18.306,0,0,0,0,0,0,0,0,0
9.3,3.51775,0,0,0,0,0.7,-12.497,6.5,16.583,0,0,0,0,0,0,0,0,0
9.400001,4.38775,0,0,0,0,1.035,-12.4,5.822,13.065,0,0,0,0,0,0,0,0,0
9.5,4.9385,0,0,0,0,4.361,-10.386,5.254,10.103,0,0,0,0,0,0,0,0,0
9.6,5.18525,0,0,0,0,8.004,-5.737,4.619,6.783,0,0,0,0,0,0,0,0,0
9.7,5.1655,0,0,0,0,10.907,-0.337,3.939,3.459,0,0,0,0,0,0,0,0,0
9.8,4.2695,0,0,0,0,12.616,3.79,3.433,0.9810001,0,0,0,0,0,0,0,0,0
9.900001,3.17075,0,0,0,0,13.44,7.648,2.921,-1.518,0,0,0,0,0,0,0,0,0
10,2.3375,0,0,0,0,13.493,10.904,2.467,-3.742,0,0,0,0,0,0,0,0,0
10.1,1.7835,0,0,0,0,13.176,13.795,2.019,-5.991,0,0,0,0,0,0,0,0,0
10.2,1.52475,0,0,0,0,12.5,15.755,1.703,-7.491,0,0,0,0,0,0,0,0,0
10.3,1.49975,0,0,0,0,11.404,17.314,1.404,-8.964,0,0,0,0,0,0,0,0,0
10.4,1.5,0,0,0,0,9.906,18.301,1.158,-10.182,0,0,0,0,0,0,0,0,0
10.5,1.5,0,0,0,0,8.017,18.696,0.95,-11.222,0,0,0,0,0,0,0,0,0
10.6,1.59625,0,0,0,0,7.2,18.696,0.772,-12.105,0,0,0,0,0,0,0,0,0
10.7,2.396,0,0,0,0,7.136,18.458,0.736,-12.287,0,0,0,0,0,0,0,0,0
10.8,3.6075,0,0,0,0,6.803,16.958,0.701,-12.486,0,0,0,0,0,0,0,0,0
10.9,4.57475,0,0,0,0,6.176,13.901,0.895,-12.437,0,0,0,0,0,0,0,0,0
11,5.1355,0,0,0,0,5.603,10.801,3.725,-10.826,0,0,0,0,0,0,0,0,0
11.1,5.454,0,0,0,0,4.972,7.505,7.474,-6.374,0,0,0,0,0,0,0,0,0
11.2,5.4935,0,0,0,0,4.274,4.017,10.737,-0.626,0,0,0,0,0,0,0,0,0
11.3,4.793,0,0,0,0,3.776,1.551,12.405,3.323,0,0,0,0,0,0,0,0,0
11.4,3.66375,0,0,0,0,3.266,-0.984,13.371,7.22,0,0,0,0,0,0,0,0,0
11.5,2.686,0,0,0,0,2.762,-3.477,13.498,10.848,0,0,0,0,0,0,0,0,0
11.6,2.1165,0,0,0,0,2.387,-5.355,13.259,13.377,0,0,0,0,0,0,0,0,0
11.7,1.76875,0,0,0,0,2.017,-7.254,12.529,15.79,0,0,0,0,0,0,0,0,0
11.8,1.69975,0,0,0,0,1.696,-8.818,11.434,17.294,0,0,0,0,0,0,0,0,0
11.9,1.69975,0,0,0,0,1.477,-9.93,10.148,18.179,0,0,0,0,0,0,0,0,0
12,1.7,0,0,0,0,1.277,-10.963,8.3,18.664,0,0,0,0,0,0,0,0,0
12.1,1.7,0,0,0,0,1.028,-12.301,7.191,18.666,0,0,0,0,0,0,0,0,0
12.2,2.7,0,0,0,0,1.02,-12.35,7.174,18.629,0,0,0,0,0,0,0,0,0
12.3,3.511,0,0,0,0,1.002,-12.469,7.001,17.932,0,0,0,0,0,0,0,0,0
12.4,4.56275,0,0,0,0,1.106,-12.492,6.31,14.745,0,0,0,0,0,0,0,0,0
12.5,5.20975,0,0,0,0,2.786,-11.699,5.902,12.547,0,0,0,0,0,0,0,0,0
12.6,5.607,0,0,0,0,6.833,-7.918,5.242,8.982,0,0,0,0,0,0,0,0,0
12.7,5.70025,0,0,0,0,10.6,-1.487,4.43,4.796,0,0,0,0,0,0,0,0,0
12.8,5.2725,0,0,0,0,12.116,1.766,4.043,2.975,0,0,0,0,0,0,0,0,0
12.9,4.1285,0,0,0,0,13.391,5.927,3.497,0.287,0,0,0,0,0,0,0,0,0
13,3.15825,0,0,0,0,13.701,9.994,2.841,-3.074,0,0,0,0,0,0,0,0,0
13.1,2.493,0,0,0,0,13.61,12.461,2.573,-4.339,0,0,0,0,0,0,0,0,0
13.2,2.1065,0,0,0,0,13.139,14.837,2.195,-6.241,0,0,0,0,0,0,0,0,0
13.3,2.00025,0,0,0,0,12.209,16.85,1.775,-8.367,0,0,0,0,0,0,0,0,0
13.4,1.99975,0,0,0,0,10.985,17.908,1.581,-9.378,0,0,0,0,0,0,0,0,0
13.5,1.99975,0,0,0,0,9.292,18.585,1.364,-10.475,0,0,0,0,0,0,0,0,0
13.6,2,0,0,0,0,7.467,18.701,1.194,-11.364,0,0,0,0,0,0,0,0,0
13.7,2.50875,0,0,0,0,7.489,18.681,1.055,-12.131,0,0,0,0,0,0,0,0,0
13.8,3.51,0,0,0,0,7.333,18.113,1.013,-12.37,0,0,0,0,0,0,0,0,0
13.9,4.58825,0,0,0,0,6.9,16.238,0.999,-12.491,0,0,0,0,0,0,0,0,0
14,5.3705,0,0,0,0,6.254,12.881,2.385,-11.936,0,0,0,0,0,0,0,0,0
14.1,5.835,0,0,0,0,5.644,9.691999,6.039,-8.863,0,0,0,0,0,0,0,0,0
14.2,5.999,0,0,0,0,5.01,6.439,9.401,-3.782,0,0,0,0,0,0,0,0,0
