time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A),tilt left,rand,tilt left rand,,, lifter (mm), left extend (mm), stock left slider (mm),,
22.1,1.03375,0,0,0,0,10.001,7.709,0,-2.541,0,0,0,0,0,0,0,0,0,,0.183100846,0.183100846,,,0.103375,1.0001,0.7709,,
22.2,0.46875,0,0,0,0,9.858999,9.746,0,-3.564,0,0,0,0,0,0,0,0,0,,0.181531287,0.181531287,,,0.046875,0.9858999,0.9746,,
22.3,0.12075,0,0,0,0,9.101999,11.723,0.001,-5.121,0,0,0,0,0,0,0,0,0,,0.188963653,0.188963653,,,0.012075,0.9101999,1.1723,,
22.4,0,0,0,0,0,7.638,13.317,0.001,-6.834,0,0,0,0,0,0,0,0,0,,0.039581611,0.039581611,,,0,0.7638,1.3317,,
22.5,-0.00025,0,0,0,0,5.67,14.281,0,-7.542,0,0,0,0,0,0,0,0,0,,0.073703443,0.073703443,,,-0.000025,0.567,1.4281,,
22.6,0,0,0,0,0,2.987,14.866,0,-8.438,0,0,0,0,0,0,0,0,0,,0.160314343,0.160314343,,,0,0.2987,1.4866,,
22.7,0,0,0,0,0,-0.042,15,0,-9.141001,0,0,0,0,0,0,0,0,0,,0.168559587,0.168559587,,,0,-0.0042,1.5,,
22.8,0.39525,0,0,0,0,0.007,14.982,0,-9.759,0,0,0,0,0,0,0,0,0,,0.181726327,0.181726327,,,0.039525,0.0007,1.4982,,
22.9,1.0645,0,0,0,0,0,14.585,0,-9.915,0,0,0,0,0,0,0,0,0,,0.12246356,0.12246356,,,0.10645,0,1.4585,,
23,1.89225,0,0,0,0,-0.001,13.178,0,-9.997,0,0,0,0,0,0,0,0,0,,0.138870713,0.138870713,,,0.189225,-1E-04,1.3178,,
23.1,2.50175,0,0,0,0,0,10.501,1.125,-9.524,0,0,0,0,0,0,0,0,0,,0.009857749,0.009857749,,,0.250175,0,1.0501,,
23.2,2.8595,0,0,0,0,0,7.997,3.793,-7.438,0,0,0,0,0,0,0,0,0,,0.067706539,0.067706539,,,0.28595,0,0.7997,,
23.3,2.9985,0,0,0,0,0,5.375,6.472,-3.374,0,0,0,0,0,0,0,0,0,,0.182092566,0.182092566,,,0.29985,0,0.5375,,
23.4,2.83675,0,0,0,0,0,2.931,8.443,0.596,0,0,0,0,0,0,0,0,0,,0.123147502,0.123147502,,,0.283675,0,0.2931,,
23.5,1.92675,0,0,0,0,0,0.646,9.632,4.128,0,0,0,0,0,0,0,0,0,,0.044941537,0.044941537,,,0.192675,0,0.0646,,
23.6,1.12125,0,0,0,0,0,-1.38,9.998,7.315,0,0,0,0,0,0,0,0,0,,0.088467687,0.088467687,,,0.112125,0,-0.138,,
23.7,0.51875,0,0,0,0,0,-3.051,9.889,9.434999,0,0,0,0,0,0,0,0,0,,0.073491167,0.073491167,,,0.051875,0,-0.3051,,
23.8,0.1465,0,0,0,0,0,-4.655,9.16,11.479,0,0,0,0,0,0,0,0,0,,0.166508976,0.166508976,,,0.01465,0,-0.4655,,
23.9,0.0015,0,0,0,0,0,-6.088,7.734,13.092,0,0,0,0,0,0,0,0,0,,0.029819165,0.029819165,,,0.00015,0,-0.6088,,
24,-0.00025,0,0,0,0,0,-7.214,5.774,14.191,0,0,0,0,0,0,0,0,0,,0.087298763,0.087298763,,,-0.000025,0,-0.7214,,
24.1,-0.00025,0,0,0,0,0,-8.189,3.08,14.819,0,0,0,0,0,0,0,0,0,,0.078387885,0.078387885,,,-0.000025,0,-0.8189,,
24.2,0,0,0,0,0,0,-8.945,0.042,14.999,0,0,0,0,0,0,0,0,0,,0.162673008,0.162673008,,,0,0,-0.8945,,
24.3,0.22775,0,0,0,0,0,-9.684,0.013,14.965,0,0,0,0,0,0,0,0,0,,0.036915136,0.036915136,,,0.022775,0,-0.9684,,
24.4,0.927,0,0,0,0,0,-9.853,0.003,14.704,0,0,0,0,0,0,0,0,0,,0.132568533,0.132568533,,,0.0927,0,-0.9853,,
24.5,1.78075,0,0,0,0,0,-10,0,13.336,0,0,0,0,0,0,0,0,0,,0.046473268,0.046473268,,,0.178075,0,-1,,
24.6,2.41325,0,0,0,0,0.252,-9.931,-0.001,10.813,0,0,0,0,0,0,0,0,0,,0.11412128,0.11412128,,,0.241325,0.0252,-0.9931,,
24.7,2.81725,0,0,0,0,2.943,-8.27,0,8.265,0,0,0,0,0,0,0,0,0,,0.037139422,0.037139422,,,0.281725,0.2943,-0.827,,
24.8,2.99175,0,0,0,0,5.813,-4.486,0,5.572,0,0,0,0,0,0,0,0,0,,,0,,,0.299175,0.5813,-0.4486,,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,
